QID,Question,A,B,C,D,Answer,PathID,PathLen,PrScores,EdgeScores,AvgPrScore,AvgEdgeScore,Path,Label,,,,,,,,,,,,PRExplanationQuality,PRExplanationNotes
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,15,2,[0.191226943194,0.004743563318,0.00250458555434],[1.0,plant cellchloroplastChloroplast is Part of the plant cell where photosynthesis occurs./Chloroplast is part of the plant cell where photosynthesis occurs./chloroplast is part of the plant cell where photosynthesis occurs./chloroplast is the part of the plant cell that contains chlorophyll./chloroplast is The part of the plant cell where photosynthesis takes place./chloroplast is Part of a plant cell that captures energy from the sun to produce food./chloroplast is a part of the plant cell that uses energy from sunlight to make food.,3,"Chloroplast is part of plant cell,photosynthesis",,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,24,2,[0.191226943194,0.004415664423,0.00250458555434],[1.0,plant cellchloroplastchloroplast is organelles in plant and algae cells in which photosynthesis takes place.,3,"Chloroplast is organelles in plant and algae cell,photosynthesis",,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,25,2,[0.191226943194,0.003921552052,0.00250458555434],[1.0,plant cellchloroplastchloroplast is roundgreen structure in a plant cell that contains chlorophyll.,3,chloroplast is part of plant cell,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,26,2,[0.191226943194,0.007867222786,0.00250458555434],[1.0,plant cellchloroplastchloroplast is *plant.,2,chloroplast is *plant.,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,70,2,[0.191226943194,0.003843020262,0.00250458555434],[1.0,plant cellchloroplastchloroplast is a plant cell structure in which photosynthesis occurs./Chloroplast is A plant cell structure in which photosynthesis occurs.,3,Chloroplast is A plant cell structure in which photosynthesis occurs.,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,73,2,[0.191226943194,0.004587406501,0.00250458555434],[1.0,plant cellchloroplastChloroplast is Found in plant cells only./chloroplast is in plant cells only./Chloroplast is Found in plant cells only.,4,Chloroplast is Found in plant cells only.,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,77,2,[0.191226943194,0.004284338364,0.00250458555434],[1.0,plant cellchloroplastChloroplast is Plant cell only allows food to be made through photosynthesis./Chloroplast is Plant cell only allows food to be made through photosynthesis./chloroplast is Plant cell only allows food to be made through photosynthesis.,3,Chloroplast is Plant cell only allows food to be made through photosynthesis,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,79,2,[0.191226943194,0.002046386693,0.00250458555434],[0.549901323465,plant cellchloroplastplant cell is contains a cell wallchloroplast and large vacuole.,2,Chloroplast plant cell,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,86,2,[0.191226943194,0.003743536789,0.00250458555434],[1.0,plant cellchloroplastA chloroplast is A feature a plant cell has and animal cell doesnt.,4,A chloroplast is A feature a plant cell has and animal cell doesnt.,,,,,,,,,,,,
175648,Which of these could only be found inside a plant cell?,nucleus,chloroplasts,mitochondria,cytoplasm,B,87,2,[0.191226943194,0.007100992451,0.00250458555434],[1.0,plant cellchloroplastA chloroplast can be found in a plant cell.,3,A chloroplast can be found in a plant cell.,,,,,,,,,,,,
